pmkAthleteID,fldName,fldSex,fldAge,fldHeight,fldWeight,fpkNationality,fldYear,fldCity,fpkSport,fldEvent
13436,Yannick Philippe Andr Borel,M,27,197,100,FRA,2016,Rio de Janeiro,Fencing,"Fencing Men's epee, Team"
13466,Maurcio Borges Almeida Silva,M,27,199,99,BRA,2016,Rio de Janeiro,Volleyball,Volleyball Men's Volleyball
13623,Ismael Borrero Molina,M,24,160,59,CUB,2016,Rio de Janeiro,Wrestling,"Wrestling Men's Featherweight, Greco-Roman"
13752,Miho Bokovi,M,29,196,96,CRO,2012,London,Water Polo,Water Polo Men's Water Polo
13790,Roger-Yves Bost,M,50,176,80,FRA,2016,Rio de Janeiro,Equestrianism,"Equestrianism Mixed Jumping, Team"
13969,David Alasdair Boudia,M,23,175,73,USA,2012,London,Diving,Diving Men's Platform
14211,Marit Bouwmeester,F,28,177,68,NED,2016,Rio de Janeiro,Sailing,Sailing Women's One Person Dinghy
14266,Frentorish Tori Bowie,F,25,175,58,USA,2016,Rio de Janeiro,Athletics,Athletics Women's 4 x 100 metres Relay
14299,Shannon Leigh Boxx,F,35,172,67,USA,2012,London,Football,Football Women's Football
14698,Ana Maria Florentina Brnz-Popescu,F,31,175,64,ROU,2016,Rio de Janeiro,Fencing,"Fencing Women's epee, Team"
14706,Scott Brash,M,26,171,64,GBR,2012,London,Equestrianism,"Equestrianism Mixed Jumping, Team"
14804,Sophie Charlotte Bray,F,26,164,58,GBR,2016,Rio de Janeiro,Hockey,Hockey Women's Hockey
14810,Thiago Braz da Silva,M,22,183,75,BRA,2016,Rio de Janeiro,Athletics,Athletics Men's Pole Vault
14899,Karoline Charlotte Dyhre Breivang,F,32,172,NaN,NOR,2012,London,Handball,Handball Women's Handball
14930,Sebastian Brendel,M,24,192,92,GER,2012,London,Canoeing,"Canoeing Men's Canadian Singles, 1,000 metres"
14930,Sebastian Brendel,M,28,192,92,GER,2016,Rio de Janeiro,Canoeing,"Canoeing Men's Canadian Singles, 1,000 metres"
